code,designation,bundesnaturschutzgesetz_30,bundesnaturschutzgesetz_21,biotopverordnung,ffh_lebensraumtypen,biotoptypen_code
MSg,Moorgewässer,2,,2.a,3160,MH
MSr,Schlenkengesellschaft,2,,2.a,7150,MH
MSt,Schwingdecken,2,,2.a,"7120, 7140",MH
MSz,Bultgesellschaften,2,,2.a,"7120, 7140",MH
MSs,Bult-Schlenken-Komplex,2,,2.a,"7120, 7140",MH
MSy,Sonstiges naturnahes Moorstadium,2,,2.a,"7120, 7140",MH
MW,"Moorwälder, torfmoosreiche baumbestandene Moorstadien",,,,,
MWb,Atlantischer Birkenmoorwald,2,,2.a,*91D0,MH
MWk,Subkontinentaler Kiefernmoorwald,2,,2.a,*91D0,WBk
MWs,Torfmoosreicher sekundärer Moorwald,2,,2.a,*91D0,MH
MA,Abtorfungsbereiche,,,,,
MAt,Episodisch austrocknende vegetationsfreie Abtorfungsfläche,,,,,MHx
MAf,Ganzjährig feuchte vegetationsfreie Abtorfungsfläche,,,,,MHx
MD,Degenerierte Moorflächen,,,,,
MDb,Trockener sekundärer Moorwald,2,,2.a,(7120),MH
MDm,Degenerierte Moorflächen mit Pfeifengras,2,,2.a,"(7120, 7140)",MH
MDg,Degenerierte Moorflächen mit Gagelgebüsch,2,,2.a,"(7120, 7140)",WBg
MDw,Weidengebüsch auf degenerierten Moorstandorten,2,,2.a,"(7120, 7140)",MH
MDe,Degenerierte Moorflächen mit Wollgras,2,,2.a,"(7120, 7140)",MH
MDy,Degenerierte Moorflächen anderer Ausprägung,2,,2.a,"(7120, 7140)",MH
MR,Moor-Regenerationskomplexe,,,,,
MRe,"Moorregenerationsbereich mit Wollgräsern, torfmoosreich",2,,2.a,"(7120, 7140)",MH
MRg,"Moorregenerationsbereich mit Gagelgebüsch, torfmoosreich",2,,2.a,"(7120, 7140)",MH
MRb,"Moorregenerationsbereich mit Moor-Birken, torfmoosreich",2,,2.a,"(7120, 7140)",MH
MRm,"Moorregenerationsbereich mit Pfeifengras, torfmoosreich",2,,2.a,"(7120, 7140)",MH
MRs,"Moorregenerationsbereich mit Moorvegetation, torfmoosreich",2,,2.a,"7120, 7140",MH
MRt,Torfstich ohne deutliche Vegetation,2,,2.a,"(7120, 7140)",MHx
MRj,"Moorregenerationsbereich, nass, vegetationsarm",2,,2.a,"7120, 7140",MH
MRw,"Weidengebüsch auf Moorstandort, nass, torfmoosreich",2,,2.a,"(7120, 7140)",MH
MRy,Sonstige Moorregenerationsbereiche,2,,2.a,"(7120, 7140)",MH
N,Sümpfe und Niedermoore sowie Salzstellen des Binnenlandes,,,,,
NH,Salzvegetation des Binnenlandes,,,,,
NHs,Naturnaher binnenländischer Salzsumpf,2,,2.f,*1340,NS
NHy,Sonstige binnenländische Salzvegetation,2,,2.f,*1340,NS
NS,Großseggen- und Simsenriede sowie sonstige Staudensümpfe,,,,,
NSa,Nährstoffarmer Sumpf,2,,2.b,7140,NS
NSb,"Basenreicher, nährstoffarmer Sumpf",2,,2.b,7230,NS
NSs,Großseggenried,2,,2.g,,NSs
NSj,Binsen- und Simsenried,2,,2.b,,NSb
NSf,Flatterbinsen-Sumpf,,,,,NSb
NSc,Sumpfreitgras-Sumpf,2,,2.b,"(7120, 7140)",NS
NSq,Quellsumpf mit typischen Quellzeigern,2,,2.b,(6430),NS
NSr,Staudensumpf,2,,2.b,,NSh
NSy,Sonstiger Sumpf,2,,2.b,,NS
NR,(Land-)Röhrichte,,,,,
NRa,Nährstoffarmes Röhricht,2,,2.c,7140,NR
NRc,Binsen-Schneide-Röhricht,2,,2.c,*7210,NR
NRs,"Schilf-, Rohrkolben-, Teichsimsen-Röhricht",2,,2.c,,NR
NRr,Rohrglanzgras-Röhricht,2,,2.c,,NR
NRg,Wasser-Schwaden-Röhricht,2,,2.c,,NR
NRb,Strandsimsen-Röhricht,2,,2.c,,NR
NRy,Sonstiges Röhricht,2,,2.c,,NR
T,"Trocken- und Heidevegetation, Borstgrasrasen und Steinstrukturen",,,,,
TB,Trocken- und Zwergstrauchvegetation auf Binnendünen,,,,,
TBa,Binnendüne mit Silbergras/Straußgras,3,,3.d,2330,XXd
TBc,Binnendüne mit Besenheide und Ginster,3,,3.b,2310,XXd
TBe,Binnendüne mit Besenheide/Krähenbeere,3,,3.b,2320,XXd
TBd,Binnendüne mit Degenerationsstadien von Trocken- oder Zwergstrauchvegetation,3,,3.b/3.d ,"(2310, 2320, 2330)",XXd
TBf,Feuchtvegetation der Binnendünentäler,3,,3.b,4010,
TF,Feuchtheiden,,,,,THf
TFd,Vergraste Feuchtheide,3,,3.b,4010,THf
TFg,Verbuschte Feuchtheide,3,,,4010,THf
TFn,Feuchtheide mit Nadelwald,3,,3.b,4010,THf
TFt,Typische Feuchtheide,3,,3.b,4010,THf
TH,Trockene Sandheiden,,,,,
THd,Vergraste Sandheide,3,,3.b,(4030),TH
THg,Verbuschte Sandheide,,,,4030,TH
THb,Stark verbuschte Sandheide,,,,(4030),TH
THs,Sandheide mit Später Traubenkirsche,3,,3.b,4030,TH
THt,Typische Sandheide,3,,3.b,4030,TH
THx,Sandheide mit gebietsfremden Gehölzen,3,,3.b,4030,TH
THw,Wacholderheiden,3,,3.b,5130,TH
TR,Trocken- und Magerrasen,,,,,
TRb,Blauschillergras-Rasen,3,,3.d,*6120,TR
TRm,Naturnaher Kalktrockenrasen,3,,3.d,6210,TR
TRn,Borstgrasrasen trockener Standorte,3,,3.c,*6230,TR
TRj,Borstgrasrasen feuchter Standorte,3,,3.c,*6230,TR
TRo,Orchideenreiche Kalktrockenrasen,3,,3.d,*6210,TR
TRs,Lückiger Sandmagerrasen,3,,3.d,,TR
TRh,Trockenrasen mit Staudenflur,3,,3.d,,TR
TRy,Sonstiger Sandmagerrasen,3,,3.d,,TR
TS,Steinstrukturen,,,,,
TSe,Steinwall oder Steinmauer mit epilithischer Vegetation,7,3.j,,,
TSo,Steinwall oder Steinmauer ohne epilithischer Vegetation,7,3.j,,,
TSr,Steinriegel,7,3.i,,,
TSs,Steinblock (terrestrisch),,,,,
TSy,"Sonstige Steinwälle, -mauern und -haufen",,,,,
G,Grünland,,,,,
GN,Seggen- und binsenreiches Nassgrünland,,,,,
GNp,Artenreiche Pfeifengraswiese,2,,2.d,6410,GN
GNa,Nährstoff- und basenarmes Nassgrünland,2,,2.d,7140,GN
GNb,"Nährstoffarmes, basenreiches Nassgrünland",2,,2.d,7230,GN
GNm,Mäßig nährstoffreiches Nassgrünland,2,,2.d,"(7120, 7140)",GN
GNr,Nährstoffreiches Nassgrünland,2,,2.d,,GN
GNh,Hochstaudenreiches Nassgrünland,2,,2.d,(6430),GN
GF,Artenreiches Feuchtgrünland,,,,,
GFb,Brenndolden-Wiese,2 bzw. 7,(6),2.d bzw. 11.a,6440,GF
GFc,Sumpfdotterblumen-Wiese,7 ,6,11.a,,GF
GFf,Artenreicher Flutrasen,7 ,6,11.a,,GFf
GFh,Hochstaudenreiches Feuchtgrünland an Waldrand oder Fließgewässer,7,6,11.a,6430,
GFr,Sonstiges artenreiches Feuchtgrünland,7 ,6,11.a,,GF
GM,Mesophiles Flachlandmähwiese ,,,,,
GMf,Mesophiles Flachlandmähwiese feuchter Standorte,7 ,6,11.b,6510,GMm
GMm,Mesophiles Flachlandmähwiese frischer Standorte,7 ,6,11.b,6510,GMm
GMt,Mesophiles Flachlandmähwiese trockener Standorte,7 ,6,11.b,6510,GMm
GW,Artenreiches mesophiles Grünland,,,,,
GWf,Artenreiches mesophiles Grünland feuchter Standorte,7,6,11.a,,GMm
GWm,Artenreiches mesophiles Grünland frischer Standorte,7,6,11.a,,GMm
GWt,Artenreiches mesophiles Grünland trockener Standorte,7,6,11.a,,GMm
GA,Artenarmes Wirtschaftsgrünland,,,,,
GAe,Einsaatgrünland,,,,,GI
GAy,Artenarmes Wirtschaftsgrünland,,,,,GI
GY,Artenarmes bis mäßig artenreiches Grünland,,,,,
GYj,Artenarmes bis mäßig artenreiches Grünland mit Flatterbinsen-Dominanzbeständen,,,,,GFf
GYn,Artenarmer bis mäßig artenreicher Flutrasen,,,,,GFf
GYf,Artenarmes bis mäßig artenreiches Feuchtgrünland,,,,,GFf
GYy,Mäßig artenreiches Wirtschaftsgrünland,,,,,GI
A,"Acker- und Gartenbauflächen, Baumschulen und Weihnachtsbaumplantagen",,,,,
AA,Äcker,,,,,
AAu,Ackerbrache mit Ackerunkrautflur,,,,,AAk
AAw,Stilllegung mit Graseinsaat,,,,,AAk
AAb,Ackerrandstreifen und PIK-Flächen,,,,,AAk
AAj,Wildacker,,,,,AAk
AAe,Extensivacker,,,,,AAe+
AAy,Intensivacker,,,,,AA
AG,Gartenbaufläche,,,,,
AGb,Gartenbaufläche zum Blumenanbau,,,,,AG
AGg,Gartenbaufläche zum Gemüseanbau,,,,,AG
AGy,Sonstige Gartenbaufläche,,,,,AG
AO,Obstanbauflächen,,,,,
AOb,Beerenstrauchplantage,,,,,AO
AOo,Intensiv genutzte Obstbaumplantage,,,,,AO
AOw,Weinbaufläche,,,,,AO
AOy,Sonstige Obstanbaufläche,,,,,AO
AB,Baumschulen,,,,,
ABw,Weihnachtsbaumplantage,,,,,ABw
ABb,Sonstige Baumschule,,,,,ABb
R,"Rohboden, Ruderal- und Pioniervegetation",,,,,
RO,Rohboden,,,,,
ROt,Rohboden auf trockenen Standorten,,,,,TRs
ROf,"Rohboden auf nährstoffreichen, frischen Standorten",,,,,TRs
ROn,Schlammflur auf nassen und wechselfeuchten Standorten,,,,,TRs
RP,Pioniervegetation auf trockenen bis wechselfeuchten Standorten,,,,,
RPa,Nährstoffarme Pionierflur wechselfeuchter Standorte,,,,,TRs
RPr,Nährstoffreiche Pionierflur wechselfeuchter Standorte,,,,,TRs
RPt,Nährstoffarme Pionierflur trockener Standorte,,,,,TRs
RPe,Nährstoffreiche Pionierflur trockener Standorte,,,,,TRs
RH,Ruderale Gras- und Staudenfluren,,,,,
RHw,Feuchte Hochstaudenflur am Waldrand,,2,6,6430,NSh
RHh,Staudenflur mittlerer bis trockener Standorte am Waldrand,,2,6,,
RHu,"Uferstaudenflur an Flüssen, Bächen und an durchströmten Stillgewässern",1,,1.a,6430,NUs
RHs,Feuchte Hochstaudenflur außerhalb amphibischer Uferbereiche stehender Binnengewässer,,2,6,,NSh
RHf,Feuchte Hochstaudenflur,,,,,RHf
RHm,Ruderale Staudenflur frischer Standorte,,,,,RHm
RHt,Staudenfluren trockener Standorte,,,,,RHt
RHg,Ruderale Grasflur,,,,,RHm
RHp,Adlerfarnflur,,,,,RHm
RHr,Brombeerflur,,,,,RHm
RHn,Nitrophytenflur,,,,,RHn
RHx,Neophytenflur,,,,,RHn
RHy,Sonstige Ruderalfläche,,,,,RHm
S,Biotoptypen in Zusammenhang mit baulichen Anlagen,,,,,
SV,Verkehrsflächen,,,,,
SVs,Vollversiegelte Verkehrsfläche,,,,,SVs
SVt,Teilversiegelte Verkehrsfäche,,,,,SVs
SVp,Spurplattenweg,,,,,SVs
SVu,"Unversiegelter Weg mit und ohne Vegetation, Trittrasen",,,,,SVs
SVi,"Bankette, intensiv gepflegt",,,,,SVs
SVe,"Bankette, extensiv gepflegt",,,,,SVs
SVo,Verkehrsflächenbegleitgrün ohne Gehölze,,,,,SV
SVg,Verkehrsflächenbegleitgrün mit Gebüschen,,,,,SV
SVh,Verkehrsflächenbegleitgrün mit Bäumen,,,,,SV
SVb,Gleisbett (Schotter),,,,,SVb
SVx,"Gleisanlage, außer Betrieb, mit Ruderalfluren",,,,,SVb (u)
SVy,Sonstige Verkehrsflächen,,,,,SVs
SK,Küstenschutz- und Hafenanlagen,,,,,
SKl,Lahnung,,,,,Svx
SKb,"Buhne, Mole",,,,,SVx
SKm,Deckwerk aus Mastixschotter,,,,,SVx
SKx,Steinschüttung (max. teilverklammert) oder Setzsteindeckwerk,,,,,SVx
SKv,Deckwerk aus Asphalt oder vollverklammerten Schüttsteinen,,,,,SVx
SKa,Anleger (schwimmend oder auf Pfeilern),,,,,SVk
SKy,Sonstige Küstenschutz- oder Hafenanlage,,,,,SVk
SF,Bauwerke an Binnengewässern,,,,,
SFx,Steinschüttung,,,,,FX
SFm,Massive Uferbefestigung,,,,,FX
SFw,"Wehr, Sperrwerk, Sohlabsturze",,,,,FX
SFf,Aufstiegshilfe für Fische,,,,,FX
SFs,"Befestigte Badestelle, Steg",,,,,FX
SFb,Buhne oder Mole an Flüssen,,,,,FX
SFy,Sonstige Bauwerke an Binnengewässern,,,,,FX
SX,Gebäude und vegetationsfreie Flächen im besiedelten Bereich,,,,,
SXa,Alte Bausubstanz oder traditionelle Bauweise,,,,,SB
SXx,Neue Bausubstanz,,,,,SB
SXb,Bunker,,,,,SB
SXr,Ruine,,,,,SB
SXs,Sandplatz,,,,,SE
SXt,"Aschebahn, Ascheplatz",,,,,SEb
SXk,Kinderspielplatz,,,,,SE
SXm,Mauern und Gabionen im besiedelten Raum,,,,,
SXw,Friesenwall,,,,,
SXn,"Baustelle, vegetationsarme/-freie Fläche",,,,,SE
SXy,Sonstige vegetationsarme/-freie Fläche,,,,,SE
SG,Grünflächen im besiedelten Bereich,,,,,
SGz,"Garten, strukturarm",,,,,SGa
SGo,(Haus-)Gärten mit einfacher Struktur und geringem Laubholzanteil,,,,,SGa
SGb,"Garten, strukturreich",,,,,SGa
SGp,Großflächige Gartenanlage mit Großgehölzen und parkartigem Charakter,,,,,SPp
SGr,"Rasenfläche, arten- und strukturarm",,,,,SP
SGe,"Rasenfläche, arten- oder strukturreich",,,,,SP
SGs,Urbanes Ziergehölz und -staudenbeet,,,,,SGa
SGg,Urbanes Gebüsch mit heimischen Arten,,,,,SGa
SGf,Urbanes Gebüsch mit gebietsfremden Arten,,,,,SGa
SGx,Urbanes Gehölz mit gebietsfremden Laubbäumen,,,,,SGa
SGn,Urbanes Gehölz mit Nadelgehölzen,,,,,SGa
SGy,Urbanes Gehölz mit heimischen Baumarten,,,,,SGa
SGa,Ansaat aus Blühmischung,,,,,SGa
SD,Bebauungen im Außenbereich,,,,,
SDe,Einzelhaus und Splittersiedlungen,,,,,SD
SDs,Siedlungsfläche mit dörflichem Charakter,,,,,SD
SDp,Landwirtschaftliche Produktionsanlage,,,,,SD
SDf,Ferienhaussiedlung,,,,,SD
SDy,Sonstige Bebauung im Außenbereich,,,,,SD
SB,Wohnbebauungen im Innenbereich,,,,,
SBe,"Einzel, Doppel- und Reihenhausbebauung",,,,,SBe
SBz,Zeilen- und Blockrandbebauung,,,,,SB
SBg,Großformen und Hochhäuser,,,,,SB
SBf,Öffentliches Gebäude,,,,,SB
SBy,Sonstige Wohnbebauung,,,,,SB
SI,Nicht zu Wohnzwecken dienende Bebauungen,,,,,
SIg,Gewerbegebiet,,,,,SIg
SIi,Industriegebiet,,,,,SIi
SIk,Kläranlage,,,,,SIk
SId,Deponie,,,,,SId
SIp,Freiflächen-Fotovoltaikanlage,,,,,SIi
SIw,Windkraftanlage,,,,,SIi
SIb,Biogasanlage,,,,,SIi
SIa,Wasserwerk,,,,,SIi
SIv,Kraftwerk,,,,,SIi
SIe,Anlage der Elektrizitätsversorgung,,,,,SIi
SIf,Funkanlage,,,,,SIi
SIr,Rohrleitung/Pipeline,,,,,SIi
SIy,"Sonstige, nicht zu Wohnzwecken dienende Bebauung",,,,,SIi
SIm,Grünflächen im Bereich von nicht zu Wohnzwecken dienenden Bebauungen,,,,,SIi
SZ,Zivile Verkehrsanlagen,,,,,
SZs,Straßenverkehrsanlage,,,,,SVs
SZb,Bahnhof,,,,,SVb
SZg,Gleisanlage,,,,,SVb
SZf,Flugplatz,,,,,SVf
SZh,Hafenanlage,,,,,SVk
SZk,Kanalanlage,,,,,SVk
SZy,Sonstige Verkehrsanlage,,,,,SVx
SM,Militärische Flächen einschließlich ziviler Flughäfen,,,,,
SMt,Militärische Fläche mit überwiegend offener Vegetation,,,,,SM
SMd,Militärische Depotfläche,,,,,SMd
SMk,Kasernenanlage mit Block- und Hallenbebauung,,,,,SMk
SMf,Militär- und Zivilflugplatz,,,,,SMk
SMh,Militärische Hafenanlage,,,,,SMk
SMr,Radaranlage,,,,,SMk
SMy,Sonstige Militärische Anlage,,,,,SMk
SE,Sport- und Erholungsanlagen,,,,,
SEk,Kinderspielplatz,,,,,SE
SEb,Sportplatz,,,,,SEb
SEd,Hundeübungsplatz,,,,,SE
SEm,Modellflugplatz,,,,,SE
SEw,Schießstand,,,,,SE
SEg,Golfplatz,,,,,SEg
SEr,Reitanlage,,,,,SEb
SEc,Campingplatz,,,,,SEc
SEs,Badestelle,,,,,SEf
SEf,Freibad mit befestigtem Becken,,,,,SEs
SEh,Sporthalle,,,,,SE
SEv,Vergnügungspark,,,,,SE
SEy,Andere Sport- und Erholungsanlage,,,,,SE
SP,Öffentliche Park- und Grünanlagen,,,,,
SPi,"Öffentliche Grünanlage, intensiv gepflegt",,,,,SP
SPe,"Öffentliche Grünanlage, extensiv gepflegt",,,,,SP
SPp,Öffentliche Parkanlage mit altem Baumbestand,,,,,SPp
SPh,Historische Parkanlage,,,,,SPp
SPk,Kleingartenanlage,,,,,SGk
SPu,"Friedhof, strukturarm, ohne Altbaumbestand",,,,,SGf
SPf,"Friedhof, strukturreich, mit Altbaumbestand",,,,,SGf
SPw,Waldfriedhof,,,,,SP
SPb,Botanischer Garten,,,,,SP
SPz,"Tiergarten, Zoologischer Garten",,,,,SP
SPy,Sonstige öffentliche Park- und Grünanlage,,,,,SP
SPd,Denkmal,,,,,SP
SL,Lagerflächen,,,,,
SLl,landwirtschaftliche Lagerfläche,,,,,SId
SLg,Gartenmülldeponie,,,,,SId
SLf,forstwirtschaftliche Lagerfläche,,,,,SId
SLt,Treibsellagerfläche,,,,,SId
SLy,Sonstige Lagerfläche,,,,,SId
X,Morphologische Merkmale (Überlagerung),,,,,
XB,Binnendünen,,,,,
XBb,Binnendüne,,1,3.a,,XXd
XA,Abgrabungen und Aufschüttungen,,,,,
XAa,Archäologische Geländeform,,,,,SAs
XAb,Bombentrichter,,,,,SAs
XAw,Lärmschutzwall,,,,,SAs
XAs,Aufschüttung,,,,,SAs
XAg,Abgrabung,,,,,SAg
XAy,Spülfeld,,,,,SAs
XD,Deiche,,,,,
XDl,Landesschutzdeich,,,,,SVd
XDs,Sommer-/Mitteldeich,,,,,SVd
XU,Unterirdische Bauwerke,,,,,
XUb,Unterirdischer Bunker,,,,,SB
XH,Hänge und Höhlen,,,,,
XHs,Artenreicher Steilhang im Binnenland,,5,9,,XXh
XHb,Bachschlucht,,5,9,,FBs
XHy,Sonstiger Steilhang im Binnenland,,,,,XXh
XHk,Kesselmoor,,,,,MH
XHo,Nicht touristisch erschlossene Höhle,,,(12.b),8310,
XHx,Sonstige Höhle,,,(12.b),,
XHt,Toteisloch,,,,,
XK,Abbruchkanten und Kliffs,,,,,
XKf,Tertiärkliff,6,,5.b,1230,KK
XKh,Felskliff,6,,5.a,1230,KK
XKn,Altmoränen-/Geestkliff (Nordseeküste),6,,5.b,1230,KK
XKo,Jungmoränenkliff (Ostseeküste),6,,5.b,1230,KK
XKd,Natürliche Abbruchkante,,,,,
XKx,Künstlicher Geländesprung,,,,,
XS,Sandbänke und Strandwälle,,,,,
XSw,Strandwall,6,,5.d,,KSw
XSd,Donn,,,,,
XSn,Sandbank der Nordsee,6,,5.j,1110,KWu
XSo,Sandbank der Ostsee,6,,5.j,1110,KWu
Y,Strukturtyp - Hydrologische Merkmale,,,,,
YQ,Quellen,,,,,
YQk,Kalktuffquelle,2,,2.e,*7220,FQ
YQs,Sicker- oder Sumpfquelle,2,,2.e,,FQ
YQf,Fließ- oder Sprudelquelle,2,,2.e,,FQ
YQt,Tümpel- oder Trichterquelle,2,,2.e,,FQ
YQu,Unterseeische Quelle,2,,2.e,,FQ
YQx,Technisch gefasste Quelle,,,,,FQx
YA,Ästuarien,,,,,
YAn,Ästuarien der Nordseezuflüsse,,,,1130,
YAo,Ästuarien der Ostseezuflüsse,,,,1130,
Z,Vegetationsgeprägte Merkmale (Überlagerung),,,,,
ZO,Streuobstwiesen ,,,,,
ZOm,Geschützte Streuobstwiese,7,,13,,HGo
ZOy,Sonstige Streuobstwiese,,,,,HGo